DEMOGRAPHICS,,,,,,,,,,WHAT ABOUT TIC TAC MOST APPEALS TO YOU?,,,,,,,WHAT INFLUENCED YOUR DECISION TO PURCHASE TIC TAC MINI PACKS?,,,,,,,,,WHERE DID YOU FIND THE PRODUCT? ,,WHERE DID YOU EXPECT TO FIND THE PRODUCT? ,,,WHICH BRAND OF CANDY/MINTS DO YOU TYPICALLy PURCHASE?  ,,,,,
Survey Respondent,Gender,Age Tier,Flavor Purchased, Did you purchase and try Tic Tac Mini Packs,When do you plan on trying the product?  ,"After trying the product, what did you like the most? ","After trying the product, what did you like the least?",What did you think of the flavor you redeemed? ,When was the last time you purchased a Tic Tac?  ,Tastes great,Easy to share,The unique flavors,It’s the perfect pick-me-up,Helps satisfy a craving,Helps me connect with others,Reminds me of my childhood,I like Tic Tac and wanted to try Tic Tac Mini Packs,"I wanted to try the flavors offered (Freshmint, Tropical Mix)",Tic Tac Mini Packs was more appealing than the candy/mints I usually buy,Tic Tac Mini Packs provided more value than the other candy/mints I usually buy,I like the convenience of the multi-serve packaging ,The Ibotta Rebate,"Other, please specify...","Other, please specify... [text",Were you able to easily find Tic Tac Mini Packs? ,Where did you find the product? ,Where did you find the product?  [other],Where did you expect to find the product? ,Where did you expect to find the product?  [other],Do you typically purchase a Multipack or Single Pack of candy/mints? ,Which brand of candy/mints do you typically purchase?  ,Which brand of candy/mints do you typically purchase?   [other],Would you consider yourself loyal to that brand? ,How likely are you to repurchase Tic Tac Mini Packs the next time you buy candy/mints? ,"In the future, how often would you purchase Tic Tac Mini Packs? ",Why would you likely not repurchase Tic Tac Mini Packs? 
Respondent 81,F,55-64,Freshmint,Yes,,The convenience of the individual mini packs,The extra waste from all the packaging,Moderately Liked  ,Longer than a month ago,1,1,1,,1,,,1,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"Other, please specify...",Orbit gum,"No, I’m not loyal to any brands ",Probably would ,Once a Month or less,
Respondent 82,F,35-44,Multiple Flavors,Yes,,Little packs,Nothing,Extremely Liked ,Longer than a month ago,,1,1,,1,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands ",Definitely would ,Every 2-3 Weeks,
Respondent 83,F,55-64,Freshmint,Yes,,packets were small enough to put into my purse for a quick grab,nothing,Moderately Liked  ,Longer than a month ago,,,1,,,,,,,,,,,1,Sharing with Others,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Breath Savers,,"No, I’m not loyal to any brands ",Might/Might Not ,Once a Month or less,
Respondent 84,F,45-54,Freshmint,Yes,,The convinence and taste  ,Nothing everything great ,Extremely Liked ,Four to seven days ago,1,1,,,,,,1,,,,1,,,,"Yes, I found it immediately ",With the chips and other snacks,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands ",Definitely would ,Once a Month or less,
Respondent 85,F,35-44,Tropical Mix,Yes,,"Loved the orange ones, but a variety was good too! ",All the little wrappers in my car!,Extremely Liked ,Rarely or Never,1,1,1,,1,,1,,1,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Probably would ,Every 2-3 Weeks,
Respondent 86,M,35-44,Multiple Flavors,Yes,,They are in tiny packs and you can give them to people.,They need a just orange bag. Best tic tac.,Moderately Liked  ,In the last month,1,1,,1,1,,1,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I’m not loyal to any brands ",Probably would ,Once a Month,
Respondent 87,F,55-64,Multiple Flavors,Yes,,How perfectly sized they were! ,Nothing that I can think of. ,Extremely Liked ,In the last month,1,1,,1,1,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 88,F,25-34,Freshmint,Yes,,Size,No complaints ,Extremely Liked ,Four to seven days ago,1,1,,,,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Life Savers,,"No, I vary between a few different brands",Definitely would ,Once a Week,
Respondent 89,F,45-54,Multiple Flavors,Yes,,The mint ones the most,The fruits to many different tastes,Extremely Liked ,Today,1,1,,1,1,,,,,,,,1,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Week,
Respondent 90,F,25-34,Multiple Flavors,Yes,,Taste,Being soft,Extremely Liked ,Four to seven days ago,1,1,1,,1,,,1,1,1,,1,1,,,"No, it wasn’t where I expected to find it",,,In the checkout lane with the other mints,,Single Pack,Mentos,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 91,M,15-24,Freshmint,Yes,,The convenience of being able to place in my purse,what to do with the wrapper,Extremely Liked ,Two or three days ago,,1,,,,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I’m not loyal to any brands ",Definitely would ,Once a Week,
Respondent 92,F,45-54,Tropical Mix,Yes,,The taste,They don't last long,Extremely Liked ,Four to seven days ago,1,,,,,,,,,,,,1,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Multipack,Mentos,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 93,F,15-24,Multiple Flavors,Yes,,My children and I love the little convenient packs,There wasn't anything I didn't like,Extremely Liked ,Four to seven days ago,,,,,,,1,,,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 94,F,35-44,Freshmint,Yes,,How they are portable,Nothing,Extremely Liked ,In the last month,1,1,1,,,,,1,,1,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Month,
Respondent 95,F,25-34,Multiple Flavors,Yes,,The fact that it is individual serving sizes,Nothing ,Extremely Liked ,Four to seven days ago,1,1,1,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands ",Might/Might Not ,Once a Month or less,
Respondent 96,F,45-54,Tropical Mix,Yes,,Individual package and assorted flavors ,Small package,Moderately Liked  ,Two or three days ago,,,1,,,,,,,,,1,1,,,"No, it wasn’t where I expected to find it",,,In the checkout lane with the other mints,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 97,M,35-44,Multiple Flavors,Yes,,Convenient sized.  Able to put in pocket.,Priced slightly too high,Extremely Liked ,Four to seven days ago,1,1,,,1,,,,,,,,1,,,"No, it wasn’t where I expected to find it",,,The candy aisle,,Single Pack,Skittles,,"No, I vary between a few different brands",Definitely would ,Once a Week,
Respondent 98,F,35-44,Multiple Flavors,Yes,,The individual packs,I liked everything,Extremely Liked ,In the last month,1,1,1,,,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Week,
Respondent 99,F,25-34,Multiple Flavors,Yes,,They're small (only four in an individual bag. Just the right size to grab and go without the whole big Tic-tac container that's noisy!,Nothing - just add more flavor choices like this or even make a larger assortment of flavors in one bag with some different mint varieties maybe!,Moderately Liked  ,Longer than a month ago,,1,1,,1,,,1,,,1,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 100,F,35-44,Multiple Flavors,Yes,,Mobility,Nothing ,Extremely Liked ,In the last month,1,,1,1,1,,1,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 101,F,55-64,Tropical Mix,Yes,,Product taste.we can get it in many flavour like mint orange.ilike that part,It's size is very small..:(,Moderately Liked  ,Four to seven days ago,1,1,1,1,,1,1,1,1,,1,1,1,,,"Yes, I found it immediately ","Other, please specify...",Walmart,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 102,F,25-34,Freshmint,Yes,,Having four in the pack was the perfect amount,I didn't dislike anything,Extremely Liked ,Longer than a month ago,1,1,,,,,1,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Breath Savers,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 103,F,35-44,Freshmint,Yes,,I like that they come in small packs of four. ,N/a,Extremely Liked ,In the last month,1,1,,,,,1,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 104,F,45-54,Freshmint,Yes,,CONVENIENT TO THROW IN MY PURSE AND NOT WORRY ABOUT THEM MAKING A MESS,THAT SOME HAVE 3 AND SOME HAVE 4,Moderately Liked  ,Rarely or Never,,1,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Skittles,,"No, I’m not loyal to any brands ",Definitely would ,Once a Month,
Respondent 105,F,35-44,Tropical Mix,Yes,,"the convenient size pkgs, that they're grouped by flavor, easy to share","i really only liked the melon & mango flavors, but that's probably just a personal preference. :)",Moderately Liked  ,Four to seven days ago,1,1,,,,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 106,F,35-44,Freshmint,Yes,,The convenient packaging,The price,Moderately Liked  ,In the last month,1,1,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 107,F,25-34,Multiple Flavors,Yes,,I really liked the taste,Nothing,Extremely Liked ,In the last month,1,1,1,,,,,1,,1,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 108,F,45-54,Tropical Mix,Yes,,I like freshmints the most.,Tropical mix,Moderately Liked  ,In the last month,1,1,,1,1,,,1,1,1,1,1,1,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Multipack,Mentos,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 109,F,35-44,Tropical Mix,Yes,,Package size,Package size of each,Extremely Liked ,Four to seven days ago,1,,,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 110,F,55-64,Freshmint,Yes,,I liked the convenience,nothing,Moderately Liked  ,Four to seven days ago,1,1,,1,,,1,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 111,F,25-34,Multiple Flavors,Yes,,The are easily portable and great flavors!,Having to open a tiny package,Extremely Liked ,Two or three days ago,1,1,,1,1,,,1,1,,,,1,,,"No, it wasn’t where I expected to find it",,,The candy aisle,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands ",Definitely would ,Every 2-3 Weeks,
Respondent 112,F,35-44,Tropical Mix,Yes,,The convince ,Not to happy with the strawberry flavor,Extremely Liked ,Two or three days ago,1,1,1,1,,,,1,1,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Skittles,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 113,F,25-34,Tropical Mix,Yes,,The small packets,The large quantity,Neither Liked nor Disliked,Four to seven days ago,,1,,,,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Might/Might Not ,Once a Month or less,
Respondent 114,F,35-44,Multiple Flavors,Yes,,Individual portions ,Nothing ,Extremely Liked ,Longer than a month ago,1,1,1,,1,,,,,,1,,1,1,Gift for nurses ,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Definitely would ,Once a Month or less,
Respondent 115,0,45-54,Tropical Mix,Yes,,The variety and how they came packaged,Nothing,Moderately Liked  ,In the last month,,1,,,,,,,1,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 116,F,55-64,Multiple Flavors,Yes,,taste,nothing,Extremely Liked ,Four to seven days ago,1,,1,1,,,,1,1,1,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Mentos,,"No, I vary between a few different brands",Definitely would ,Once a Week,
Respondent 117,F,35-44,Freshmint,Yes,,The way they leave your breath fresh,The little packets. There were so many.,Extremely Liked ,Two or three days ago,1,,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Week,
Respondent 118,F,35-44,Tropical Mix,Yes,,The new flavor,That I only purchased one.,Extremely Liked ,In the last month,1,1,1,,,,,,1,,,1,1,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 119,F,55-64,Tropical Mix,Yes,,Red ones,Yellow ,Extremely Liked ,In the last month,1,1,1,,,,1,1,1,1,,1,1,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Multipack,Tic Tac,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 120,F,35-44,Multiple Flavors,Yes,,My kids love the small packaging ,Nothing,Extremely Liked ,Two or three days ago,1,1,1,,1,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 121,F,35-44,Freshmint,Yes,,It tasted friity,Nothing ,Extremely Liked ,Yesterday,1,1,1,,,,,1,,,,,1,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Single Pack,Life Savers,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Week,
Respondent 122,M,45-54,Freshmint,Yes,,having individual packets can put in your pocket instead of big container,nothing,Extremely Liked ,Four to seven days ago,1,,1,,,,1,1,,,1,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 123,M,45-54,Freshmint,Yes,,"It's similar to the typical Tic Tac pack, except that per tiny bag, it only contained four small mints.","Small children, especially infants and babies, are the most concern. Parents need to remind those to not consume the tiny bags.",Extremely Liked ,In the last month,1,1,,1,,,1,1,1,,,1,1,,,"No, I had to go to more than one store to find it",,,The candy aisle,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 124,F,35-44,Multiple Flavors,Yes,,Taste,Can't think of anything! Loved it!,Extremely Liked ,Longer than a month ago,1,,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Starburst,,"No, I’m not loyal to any brands ",Probably would ,Once a Month,
Respondent 125,F,25-34,Multiple Flavors,Yes,,Flavor,Nothing,Extremely Liked ,Rarely or Never,,1,,,,,,,,,,,1,,,"No, I had to go to more than one store to find it",,,The candy aisle,,Single Pack,Mentos,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 126,F,25-34,Multiple Flavors,Yes,,Convenience of being able to carry them in your pocket without the bulky container.,Love everything especially the taste.,Extremely Liked ,Longer than a month ago,1,1,1,1,1,1,1,,,,,1,1,,,"No, it wasn’t where I expected to find it",,,In the checkout lane with the other mints,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 127,F,65+,Freshmint,Yes,,The convenience,Nothing ,Extremely Liked ,Longer than a month ago,1,,,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 128,F,25-34,Freshmint,Yes,,Curbing my appetite fresh breathe,Nothing ,Extremely Liked ,Four to seven days ago,,,1,,,,,,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 129,F,25-34,Freshmint,Yes,,The individual wrappers,Easy to lose,Extremely Liked ,Yesterday,,,,1,,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"No, I vary between a few different brands",Might/Might Not ,Once a Month,
Respondent 130,F,55-64,Freshmint,Yes,,small packs ,nothing ,Slightly Liked,Longer than a month ago,1,,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 131,M,15-24,Freshmint,Yes,,"Easy, quiet packaging. ",Not enough per pack,Moderately Liked  ,In the last month,1,,,,1,,,,,1,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"No, I’m not loyal to any brands ",Might/Might Not ,Every 2-3 Weeks,
Respondent 132,F,55-64,Freshmint,Yes,,convenient to put a packet in my pocket. ,Nothing,Extremely Liked ,Longer than a month ago,1,1,,,1,,,,,,,,1,,,"No, it wasn’t where I expected to find it",,,In the checkout lane with the other mints,,Single Pack,Altoids,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 133,F,35-44,Freshmint,Yes,,Conscience ,Pricey ,Moderately Liked  ,Four to seven days ago,,1,,,,,,,,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 134,F,35-44,Freshmint,Yes,,Flavor,Nothing ,Extremely Liked ,Four to seven days ago,1,1,,,,,1,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Skittles,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 135,F,25-34,Tropical Mix,Yes,,Flavor,Nothing,Extremely Liked ,In the last month,1,1,,,,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Week,
Respondent 136,F,25-34,Multiple Flavors,Yes,,the travel size pack not spilling all over inside my purse!!!!,"not in a resealable package, the little pack were spilt 3 times before we put them in a ziploc",Extremely Liked ,In the last month,1,,1,,1,,1,1,,,,,1,,,"No, I had to go to more than one store to find it",,,The candy aisle,,Single Pack,Life Savers,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 137,F,45-54,Freshmint,Yes,,The convenience ,The fact that there were 4 in a pac,Extremely Liked ,Four to seven days ago,,,,1,1,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 138,F,35-44,Tropical Mix,Yes,,The tropical fruity flavor,Tempted to eat too many at once,Extremely Liked ,Two or three days ago,,,1,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 139,M,35-44,Freshmint,Yes,,Flavors,Variety,Extremely Liked ,In the last month,,1,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 140,F,45-54,Freshmint,Yes,,kept the kids quite for a bit,we ran out,Neither Liked nor Disliked,In the last month,,,,,,1,,,,,,,1,,,"Yes, I found it immediately ","Other, please specify...",end cap,,,Multipack,"Other, please specify...",all of the above,"No, I vary between a few different brands",Might/Might Not ,Every 2-3 Weeks,
Respondent 141,F,35-44,Tropical Mix,Yes,,Small size perfect for on the go,Difficult to open quickly ,Moderately Liked  ,Rarely or Never,1,,,1,1,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Breath Savers,,"No, I vary between a few different brands",Might/Might Not ,Once a Month,
Respondent 142,F,45-54,Tropical Mix,Yes,,Flavor,Getting them out of the wrapper,Moderately Liked  ,Four to seven days ago,1,,,,,,,,1,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"Yes, I always purchase the same candy/mints brand",Might/Might Not ,Once a Month,
Respondent 143,F,45-54,Freshmint,Yes,,packaging,size of bag,Extremely Liked ,Four to seven days ago,1,,,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Probably would ,Every 2-3 Weeks,
Respondent 144,F,35-44,Multiple Flavors,Yes,,That they were individually wrapped,Nothing,Extremely Liked ,Longer than a month ago,1,1,1,,1,,1,,1,1,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Breath Savers,,"No, I’m not loyal to any brands ",Definitely would ,Every 2-3 Weeks,
Respondent 145,F,45-54,Freshmint,Yes,,Individual packets ,Nothing ,Extremely Liked ,In the last month,1,1,,,,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Month or less,
Respondent 146,F,55-64,Multiple Flavors,Yes,,The little small pacs and how convenient they were to carry around,Nothing,Extremely Liked ,In the last month,1,1,1,,,,1,1,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 147,F,45-54,Freshmint,Yes,,the convenience of the individual packages,nothing,Moderately Liked  ,Two or three days ago,1,1,1,,,,,1,,,,1,1,,,"No, I had to go to more than one store to find it",,,The candy aisle,,Multipack,Altoids,,"No, I vary between a few different brands",Probably would ,Once a Week,
Respondent 148,F,25-34,Multiple Flavors,Yes,,I love the size and take up no room in my purse or pocket.  It was the perfect amount for one serving!,Absolutely nothing.,Extremely Liked ,Longer than a month ago,1,1,1,,1,,,,,1,1,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 149,F,45-54,Freshmint,Yes,,The small individual packets,Price,Extremely Liked ,Rarely or Never,1,1,,,,,,,,,,,1,,,"Yes, I found it immediately ","Other, please specify...","""",,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands ",Probably would ,Every 2-3 Weeks,
Respondent 150,F,55-64,Freshmint,Yes,,Little packs,Sugar,Moderately Liked  ,Longer than a month ago,1,,,,1,,1,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands ",Probably would ,Once a Month or less,
Respondent 151,F,15-24,Tropical Mix,Yes,,The convenience of the individual packs,The limited choices of flavors,Moderately Liked  ,In the last month,1,,1,,1,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Might/Might Not ,Once a Month or less,
Respondent 152,F,35-44,Multiple Flavors,Yes,,Convenience ,"Nothing, it was great ",Extremely Liked ,Four to seven days ago,1,1,,,,,1,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Breath Savers,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 153,F,35-44,Multiple Flavors,Yes,,They were is small packs that I can throw in my kids lunches.,There were only 4 in a pack.,Extremely Liked ,Longer than a month ago,1,1,,,1,,,,1,,,1,1,,,"Yes, I found it immediately ",With the chips and other snacks,,,,Single Pack,Life Savers,,"No, I’m not loyal to any brands ",Probably would ,Every 2-3 Weeks,
Respondent 154,F,35-44,Freshmint,Yes,,Small size of packs,Nothing,Extremely Liked ,Longer than a month ago,1,,,,,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Skittles,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 155,M,35-44,Freshmint,Yes,,The quick instance it took to get my breath fresh,I honestly wish there were more.,Extremely Liked ,Four to seven days ago,,,,1,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Might/Might Not ,Every 2-3 Weeks,
Respondent 156,F,35-44,Freshmint,Yes,,I liked that there was 4 mints in the package - no plastic container rattling around in my bag ,the small bags are a little hard to open,Moderately Liked  ,Two or three days ago,,,,,1,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Breath Savers,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 157,F,25-34,Freshmint,Yes,,that they are individually wrapped. i have always like tic tac. but individually wrapped is nice,would like more flavors,Neither Liked nor Disliked,Longer than a month ago,,1,,,,,,,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Month,
Respondent 158,F,25-34,Multiple Flavors,Yes,,Individual packs for me and my son,Nothing love them,Extremely Liked ,In the last month,1,1,,,1,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Life Savers,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 159,F,25-34,Tropical Mix,Yes,,That they were in little mini packets ,I loved everything about them!,Extremely Liked ,In the last month,1,1,1,,,,1,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 160,F,45-54,Freshmint,Yes,,Smaller size package ,Can't find fruit ones,Moderately Liked  ,Four to seven days ago,1,1,1,,,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Probably would ,Every 2-3 Weeks,
Respondent 161,F,35-44,Tropical Mix,Yes,,The indivualized packing ,Nothing ,Extremely Liked ,Two or three days ago,1,1,,,,,,,,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Skittles,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Week,
Respondent 162,F,35-44,Freshmint,Yes,,Taste,Too small,Extremely Liked ,Four to seven days ago,,1,,,,,,,,,1,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Month,
Respondent 163,F,35-44,Multiple Flavors,Yes,,Long lasting flavor ,Small in size,Extremely Liked ,Longer than a month ago,,1,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",Probably would ,Every 2-3 Weeks,
Respondent 164,F,15-24,Multiple Flavors,Yes,,The mini packaging ,Nothing,Extremely Liked ,Rarely or Never,,,,,,,1,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
