DEMOGRAPHICS,,,,WHAT ABOUT TIC TAC MOST APPEALS TO YOU?,,,,,,,,,,,WHICH FLAVOR(S) DIDN'T APPEAL TO YOU? (SELECT ALL THAT APPLY),,,,,,,,,,,,,,,,,,
Survey Respondent,Gender,Age Tier, Did you unlock the Tic Tac Mini Packs rebate in the Ibotta app?,Easy to share with friends and family,Easy to share around the office with co-workers,It's the perfect pick-me-up,Helps satisfy a craving,Helps me connect with others,Reminds me of my childhood,When was the last time you tried a Tic Tac? ,We noticed you engaged with the Tic Tac Mini Packs rebate but didn’t redeem. Which of the statements below best describes your reason for not purchasing? ,We noticed you engaged with the Tic Tac Mini Packs rebate but didn’t redeem. Which of the statements below best describes your reason for not purchasing?  [other],Where did you expect to find the product?,Where did you expect to find the product? [other],Melon,Strawberry,Orange,Mango,Freshmint,Did you buy another brand of candy/mints instead of Tic Tac Mini Packs? ,Which type of Tic Tac did you purchase? ,Which flavor of Tic Tac did you purchase? ,Which flavor of Tic Tac did you purchase?  [other],Did you purchase a Multipack or Single Pack of candy/mints? ,Which brand of candy/mints did you choose to purchase? ,Which brand of candy/mints did you choose to purchase?  [other],Do you typically purchase a Multipack or Single Pack of candy/mints? ,Which brand of candy/mints do you typically purchase? ,Which brand of candy/mints do you typically purchase?  [other],Would you consider yourself loyal to that brand? ,How likely are you to consider choosing Tic Tac Mini Packs the next time you buy candy/mints? ,What flavor would you most likely purchase? ,Why would you consider choosing other brands before Tic Tac Mini Packs? 
Respondent 598,F,35-44,Yes,,1,,,,,Yesterday,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Orange ,,,,,Single Pack,Altoids,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 599,M,35-44,Yes,1,,,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Ice Breakers ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 600,F,35-44,Yes,1,1,,,,,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Ice Breakers ,,,,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 601,F,35-44,Yes,,,1,,,,Rarely or Never,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Mentos,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 602,F,35-44,Yes,1,,,,,,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Ice Breakers ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 603,F,25-34,Yes,1,1,,1,,,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Life Savers,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,Availability 
Respondent 604,F,35-44,Yes,1,,1,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Mentos,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 605,F,45-54,Yes,1,,,,,,In the last month,I was unable to find the product in the store,,With the chips and other snacks,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Tic Tac Mixers: Cherry to Cola ,,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",It is my first choice ,Freshmint,
Respondent 606,F,15-24,Yes,,,,1,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Ice Breakers,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 607,F,45-54,Yes,1,,,,,,Longer than a month ago,"Other, please specify...",Although I do intend on seeking out this new Tic Tac product I just haven't done that as of yet. But I still plan on looking for them in my local Walmart.      ,,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 608,F,15-24,Yes,1,,,1,,1,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 609,F,35-44,Yes,1,,,,,,Longer than a month ago,"Other, please specify...",I am going to go to Walmart this weekend to grocery shop and was going to use it then.,,,,,,,,No,,,,,,,Single Pack,Breath Savers,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 610,F,25-34,Yes,,,1,,,,Four to seven days ago,"Other, please specify...",Forgot it ,,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Orange ,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 611,F,25-34,Yes,,,1,,,,Two or three days ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Skittles,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 612,F,25-34,Yes,,,,,,1,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Altoids,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,Tic Tac 
Respondent 613,F,55-64,Yes,,,,,,1,Rarely or Never,There were other candy/mints that were more appealing than Tic Tac Mini Packs ,,,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,I like life savers wintergreen and peppermint best!
Respondent 614,F,15-24,Yes,1,,,,,1,In the last month,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",It is my first choice ,Freshmint,
Respondent 615,F,15-24,Yes,1,,,1,,1,Longer than a month ago,"Other, please specify...",Haven't been to the store ,,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"Yes, I always purchase the same candy/mints brand",I might consider choosing it but there are others I would choose more often,,"For a different consistency, for example, gum. "
Respondent 616,F,35-44,Yes,,,,,,1,Rarely or Never,There were other candy/mints that were more appealing than Tic Tac Mini Packs ,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,Starburst ,,,,,"No, I’m not loyal to any brands",I might consider choosing it but there are others I would choose more often,,"Sales, coupon and taste"
Respondent 617,F,35-44,Yes,,1,,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Starburst,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Tropical Mix,
Respondent 618,M,35-44,Yes,,,,,,1,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Mentos,,"Yes, I always purchase the same candy/mints brand",I might consider choosing it but there are others I would choose more often,,Prices 
Respondent 619,F,25-34,Yes,1,,,1,,1,Yesterday,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Grape ,,,,,Multipack,Mentos,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 620,F,35-44,Yes,,,1,1,,1,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,"Other, please specify...",Summer Ice Pop-bought at 5Below,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 621,F,45-54,Yes,,,,1,,,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Breath Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 622,F,25-34,Yes,1,,,,,,In the last month,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Altoids,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 623,M,35-44,Yes,,,,1,,,Four to seven days ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Mentos,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 624,F,25-34,Yes,1,,1,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Tic Tac,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 625,F,55-64,Yes,1,1,,,,,Yesterday,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Freshmint,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 626,M,25-34,Yes,,,,1,,1,In the last month,"One or more of the Tic Tac Mini Packs flavors (Freshmint, Tropical Mix) didn’t appeal to me",,,,1,1,,,,No,,,,,,,Single Pack,Starburst,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 627,F,35-44,Yes,1,,,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Starburst ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 628,M,25-34,Yes,1,,,,,,Two or three days ago,The individual packaging didn’t appeal to me,,,,,,,,,No,,,,,,,Multipack,Skittles,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Tropical Mix,
Respondent 629,F,55-64,Yes,,,1,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Freshmint,,,,,Multipack,Life Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 630,F,35-44,Yes,,,1,,,,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Altoids,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,Flavors
Respondent 631,F,25-34,Yes,,,,1,,,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Altoids ,,,,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 632,F,15-24,Yes,1,,,,,1,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Ice Breakers ,,,,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,"Ice Breakers, normal Tic Tacs not Mini Pavks"
Respondent 633,F,25-34,Yes,1,,,,,,Two or three days ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Tropical Mix,
Respondent 634,F,45-54,Yes,1,,1,1,,1,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Mentos,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 635,F,25-34,Yes,1,,,1,,,Longer than a month ago,"Other, please specify...",Forgot to check for the item in my local store,,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",It is my first choice ,Tropical Mix,
Respondent 636,F,15-24,Yes,1,1,1,1,1,1,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 637,F,55-64,Yes,,,,1,,1,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Ice Breakers,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 638,F,25-34,Yes,1,,,,,,Rarely or Never,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Ice Breakers,,"Yes, I always purchase the same candy/mints brand",I might consider choosing it but there are others I would choose more often,,"Couldn't find them. I prefer Icebreakers, but my kids like Tic Tacs"
Respondent 639,M,35-44,Yes,1,,,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 640,F,55-64,Yes,1,,1,,,,Longer than a month ago,There were other candy/mints that were more appealing than Tic Tac Mini Packs ,,,,,,,,,No,,,,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,I like their flavors.
Respondent 641,F,25-34,Yes,,,,,,1,Longer than a month ago,The individual packaging didn’t appeal to me,,,,,,,,,No,,,,,,,Multipack,Ice Breakers,,"No, I’m not loyal to any brands",I might consider choosing it but there are others I would choose more often,,effectiveness as a mint
Respondent 642,F,45-54,Yes,,,1,1,,,Two or three days ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Single Pack,Mentos,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 643,M,25-34,Yes,1,,,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",It is my first choice ,Tropical Mix,
Respondent 644,M,25-34,Yes,1,,1,1,,1,Longer than a month ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Altoids ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 645,F,25-34,Yes,,,1,,,,Longer than a month ago,"Other, please specify...","The more I thought about it, the more I felt that the individual packets were wasteful & not recyclable like the standard packages. It appealed because it was cute, but it was too wasteful to justify the purchase.",,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 646,F,35-44,Yes,1,,,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Altoids,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 647,F,35-44,Yes,,,,1,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,Prefererence
Respondent 648,F,55-64,Yes,,,1,,,,Four to seven days ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Mentos,,"No, I’m not loyal to any brands",I might consider choosing it but there are others I would choose more often,,price and packaging sizes
Respondent 649,F,45-54,Yes,1,,,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,"Other, please specify...",Peppermint ,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 650,F,55-64,Yes,,,,1,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Altoids ,,,,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 651,F,35-44,Yes,1,,,1,,,Longer than a month ago,"Other, please specify...",Only available at WalMart and not local grocery store. ,,,,,,,,No,,,,,,,Single Pack,Breath Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 652,F,35-44,Yes,1,,,,,,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Multipack,Mentos,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 653,F,15-24,Yes,1,,1,1,,1,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Skittles,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 654,F,35-44,Yes,1,1,1,1,,,Yesterday,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Freshmint,,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 655,F,55-64,Yes,1,,1,1,,,Today,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Berry Cherry ,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Tropical Mix,
Respondent 656,F,25-34,Yes,1,,1,,,1,Two or three days ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Freshmint,,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,Ease to find in store
Respondent 657,F,25-34,Yes,1,,1,,,1,Longer than a month ago,"Other, please specify...",I haven't been to the store since I unlocked it,,,,,,,,No,,,,,,,Single Pack,Starburst,,"No, I vary between a few different brands",It is my first choice ,Freshmint,
Respondent 658,F,55-64,Yes,,,,1,,,Today,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different type of Tic Tac",Single Pack,"Other, please specify...",Cinnamon,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Tropical Mix,
Respondent 659,F,35-44,Yes,1,,,,,,Longer than a month ago,"One or more of the Tic Tac Mini Packs flavors (Freshmint, Tropical Mix) didn’t appeal to me",,,,1,1,,1,,No,,,,,,,Single Pack,Altoids,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 660,F,35-44,Yes,,,1,1,,,Two or three days ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 661,F,35-44,Yes,,,,1,,,Four to seven days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Multipack ,Orange ,,,,,Multipack,Mentos,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 662,F,35-44,Yes,1,,,,,,Longer than a month ago,"Other, please specify...",Product hard to locate- alot of time rebates have to be exact and cautious with purchases,,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 663,F,25-34,Yes,,,,,,1,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Orange ,,,,,Single Pack,Mentos,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 664,F,25-34,Yes,,,,1,,,Two or three days ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Mentos ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 665,M,35-44,Yes,,1,,1,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Life Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 666,M,55-64,Yes,,,,1,,,Longer than a month ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Multipack,Altoids,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 667,F,25-34,Yes,1,1,,,,,Today,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Tic Tac Mixers: Peach to Lemonade ,,,,,Single Pack,Tic Tac,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 668,F,35-44,Yes,,1,,,,,In the last month,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 669,F,35-44,Yes,,,,,,1,Longer than a month ago,"Other, please specify...",Don't purchase tic tacs,,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,Less packaging 
Respondent 670,F,45-54,Yes,1,,,,,,Yesterday,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 671,F,25-34,Yes,1,1,,,,1,In the last month,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,Mentos ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 672,F,45-54,Yes,,1,1,,,,In the last month,"Other, please specify...",found mint wanted tropical,,,,,,,,No,,,,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 673,F,35-44,Yes,1,1,1,,,1,Two or three days ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,"Other, please specify...",M&M,,,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Tropical Mix,
Respondent 674,F,25-34,Yes,,,1,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"Yes, I always purchase the same candy/mints brand",I might consider choosing it but there are others I would choose more often,,Because I like Trident mint gum better
Respondent 675,F,25-34,Yes,,,,,,1,Rarely or Never,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Altoids,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 676,F,25-34,Yes,1,1,1,1,1,1,In the last month,"Other, please specify...",I didn't have time to go to the store and get them ,,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 677,F,35-44,Yes,1,,,,,,Four to seven days ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Tic Tac Mixers: Cherry to Cola ,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I might consider choosing it but there are others I would choose more often,,My kids prefer the big pack of tic tac
Respondent 678,F,55-64,Yes,1,,1,1,,,Four to seven days ago,There were other candy/mints that were more appealing than Tic Tac Mini Packs ,,,,,,,,,No,,,,,,,Single Pack,Breath Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 679,F,45-54,Yes,1,,1,,,,Yesterday,"One or more of the Tic Tac Mini Packs flavors (Freshmint, Tropical Mix) didn’t appeal to me",,,,,1,,,,No,,,,,,,Multipack,Life Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 680,F,25-34,Yes,1,1,,1,,,Rarely or Never,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Altoids,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 681,F,45-54,Yes,,,,,,1,Longer than a month ago,"Other, please specify...",I forgot to look for them,,,,,,,,No,,,,,,,Single Pack,Skittles,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 682,F,35-44,Yes,,1,,,1,,Two or three days ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Life Savers ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 683,F,35-44,Yes,,,1,1,,,Today,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 684,F,45-54,Yes,1,,,,,,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Life Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 685,F,15-24,Yes,,,1,,,,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Skittles,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 686,F,25-34,Yes,,,,1,,,Longer than a month ago,There were other candy/mints that were more appealing than Tic Tac Mini Packs ,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 687,F,35-44,Yes,1,,1,1,,1,Four to seven days ago,"Other, please specify...",Haven't made it to walmart yet,,,,,,,,No,,,,,,,Single Pack,Altoids,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 688,F,25-34,Yes,1,,,1,,1,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 689,F,35-44,Yes,,,1,1,,1,In the last month,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Single Pack,Mentos,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 690,F,55-64,Yes,1,,,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Life Savers,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 691,F,35-44,Yes,1,1,1,1,1,1,Today,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 692,F,45-54,Yes,1,,,,,1,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Altoids ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 693,F,35-44,Yes,1,1,1,1,,,In the last month,"Other, please specify...",Forgot to purchsse,,,,,,,,No,,,,,,,Multipack,Mentos,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 694,F,25-34,Yes,1,,,,,,Longer than a month ago,"Other, please specify...",Haven't looked for it yet ,,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Breath Savers ,,,,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 695,M,25-34,Yes,1,1,,1,1,,Longer than a month ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Multipack,Altoids,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 696,F,25-34,Yes,1,,,1,,1,Longer than a month ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
